,occupation,competency,category,description
3121,Database Administrators,BMC Software Recovery Manager RMAN,Technology Skills,Backup or archival software
3122,Database Administrators,Database cloning software,Technology Skills,Backup or archival software
3123,Database Administrators,Computers and Electronics,Knowledge,"Knowledge of circuit boards, processors, chips, electronic equipment, and computer hardware and software, including applications and programming."
3124,Database Administrators,Programming,Skills,Writing computer programs for various purposes.
3125,Database Administrators,Amazon Redshift,Technology Skills,Data base user interface and query software
3126,Database Administrators,Apache HTTP Server,Technology Skills,Portal server software
3127,Database Administrators,Develop methods for integrating different products so they work properly together such as customizing commercial databases to fit specific needs.,Task Statements,Core
3128,Database Administrators,Problem Sensitivity,Abilities,"The ability to tell when something is wrong or is likely to go wrong. It does not involve solving the problem, only recognizing there is a problem."
3129,Database Administrators,Microsoft Visual C# .NET,Technology Skills,Object or component oriented development software
3130,Database Administrators,Data manipulation language DML,Technology Skills,Data base management system software
3131,Database Administrators,Deployment software,Technology Skills,Configuration management software
